Column1,name,gender,age,height,nationality,weight,sports,hours_per_day,strength,agility,mental,federation,year_start,rank
16,Angela Adams,Female,31,168,USA,85,MMA,3,6,6,7,World Wrestling Entertainment,2011,216
31,Arthur Sturm,Male,31,184,USA,100,"Boxing, Karate, Kick-Boxing",3,6,6,6,World Wrestling Entertainment,2013,297
33,Barbara Carlson,Female,31,171.5,USA,87,"Karate, Kick-Boxing",5,6,8,5,Consejo Global de Lucha Libre,2009,394
51,Bonnie Felt,Female,31,171.5,USA,86,Karate,2,5,8,7,World Wrestling Entertainment,2007,307
83,Christine Barnard,Female,31,175,USA,88,"Boxing, Karate, MMA",3,6,9,8,Consejo Global de Lucha Libre,2003,55
118,David Ray,Male,31,178.5,USA,94,Kick-Boxing,0,7,6,6,Consejo Global de Lucha Libre,2011,410
310,Marie Carlton,Female,31,161,USA,75,Karate,4,4,10,6,World Wrestling Entertainment,2008,336
452,Sylvia Van,Female,31,170,USA,88,"Boxing, Karate, Kick-Boxing, MMA",3,4,10,5,Fight Zone Wrestling,2003,112
492,William Bryant,Male,31,180,USA,97,"Boxing, Karate, MMA",4,6,6,9,Consejo Global de Lucha Libre,2006,97
28,Antonio Beard,Male,30,186.5,USA,102,MMA,2,8,5,5,Fight Zone Wrestling,2003,222
88,Christopher Estes,Male,30,179,USA,93,MMA,1,8,5,7,Fight Zone Wrestling,2016,239
137,Donna Borrero,Female,30,182,USA,99,Karate,2,7,7,8,Consejo Global de Lucha Libre,2012,332
252,Judy Tregre,Female,30,166,USA,80,"Boxing, Karate",2,5,7,7,Consejo Global de Lucha Libre,2009,443
306,Margaret Medley,Female,30,171.5,USA,88,"Karate, Kick-Boxing",1,5,8,5,Fight Zone Wrestling,2002,381
313,Marjorie Brazelton,Female,30,168.5,USA,81,"Boxing, MMA",2,7,9,4,Fight Zone Wrestling,2012,213
450,Sydney Glenn,Female,30,176,USA,88,Boxing,3,6,7,6,Consejo Global de Lucha Libre,2010,454
4,Albertha Rodriguez,Female,29,158,USA,72,MMA,1,5,7,7,Consejo Global de Lucha Libre,2012,360
24,Anthony Butler,Male,29,181,USA,99,Karate,2,6,5,7,Fight Zone Wrestling,2009,444
93,Clarence Cote,Male,29,179.5,USA,95,"Boxing, Judo, Kick-Boxing",4,7,7,6,Fight Zone Wrestling,2008,248
132,Diane Seys,Female,29,177.5,USA,95,"Boxing, MMA",3,5,7,8,Consejo Global de Lucha Libre,2009,208
174,Fred Rehm,Male,29,178,USA,94,"Boxing, Kick-Boxing, MMA",5,8,8,7,Consejo Global de Lucha Libre,2008,32
